epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93761,1.82223,4.92128,1.19781,0.00119,0.41667,0.00273,0.00122,1.70463,4.28531,0.98132,0.00010002,0.00010002,0.00010002
2,7.71875,1.66861,4.02253,1.1189,0.00136,0.4881,0.09293,0.0337,1.42774,3.98164,0.93844,0.000215852,0.000215852,0.000215852
3,11.3977,1.66181,3.27567,1.1312,0.0015,0.4881,0.10234,0.04416,1.3164,3.99761,0.92532,0.000330759,0.000330759,0.000330759
4,15.163,1.44117,2.65182,1.0526,0.00192,0.5,0.06096,0.02214,1.31423,3.97328,0.91755,0.000444743,0.000444743,0.000444743
5,18.8318,1.6036,2.63119,1.12118,0.00187,0.50556,0.01047,0.00344,1.41286,4.06622,0.95571,0.000557802,0.000557802,0.000557802
6,22.4555,1.48523,2.36062,1.08504,0.00184,0.52143,0.02851,0.01134,1.49875,3.91719,0.96198,0.000669937,0.000669937,0.000669937
7,26.7956,1.58326,2.55674,1.10471,0.00184,0.50317,0.0293,0.00723,1.47744,3.86724,0.99643,0.000781148,0.000781148,0.000781148
8,30.9928,1.46673,2.05444,1.08228,0.00175,0.43175,0.01498,0.00349,1.53048,3.96206,1.06135,0.000891435,0.000891435,0.000891435
9,34.7008,1.63272,2.29554,1.14624,0.00092,0.23571,0.00067,0.0003,1.59887,4.17689,1.254,0.0010008,0.0010008,0.0010008
10,38.5224,1.43366,2.17455,1.08043,0.00143,0.34524,0.00113,0.00043,1.68054,4.12932,1.3013,0.00110924,0.00110924,0.00110924
11,42.442,1.50363,2.17412,1.01647,0.00144,0.3381,0.02023,0.00892,1.80681,4.13178,1.31809,0.00121675,0.00121675,0.00121675
12,46.2672,1.40812,1.82776,1.00884,0.78181,0.03571,0.20427,0.09184,1.62742,3.46993,1.19428,0.00132334,0.00132334,0.00132334
13,49.6328,1.39288,1.93126,1.03899,0.0021,0.52698,0.15227,0.07455,1.6379,3.624,1.22112,0.00142901,0.00142901,0.00142901
14,52.8367,1.41238,1.88021,1.04856,0.79827,0.0532,0.2365,0.10423,1.71317,3.40605,1.28021,0.00153375,0.00153375,0.00153375
15,55.9671,1.40091,1.62108,1.04531,0.96527,0.15971,0.28292,0.13606,1.80332,3.35775,1.28318,0.00157458,0.00157458,0.00157458
16,59.1915,1.4147,1.69915,1.05277,0.56222,0.1931,0.30263,0.12783,1.87708,3.24839,1.28933,0.00156798,0.00156798,0.00156798
17,62.2586,1.40356,1.66516,1.03912,0.79981,0.23557,0.34421,0.14902,1.8415,2.95358,1.25096,0.00156138,0.00156138,0.00156138
18,65.8562,1.36958,1.59848,1.03279,0.69447,0.29699,0.40239,0.1647,1.84302,2.7782,1.21762,0.00155478,0.00155478,0.00155478
19,69.3301,1.51271,1.66961,1.07093,0.59596,0.31007,0.44032,0.17989,1.76183,2.69827,1.15089,0.00154818,0.00154818,0.00154818
